Field=Comment~String~Comment~100|Field=Currency5~String~Currency5~100|Field=DateOfPrice5~String~DateOfPrice5~100|Field=Descript~String~Descript~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer5~String~Manufacturer5~100|Field=OtherParams~String~OtherParams~100|Field=Price5~String~Price5~100|Field=Quantity~Integer~Quantity~100|Field=Reference5~String~Reference5~100|Field=Supplier5~String~Supplier5~100|Field=Typ5~String~Typ5~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Chov2.PrjPCB|ReportField=ProjectFullPath~E:\Design\MLACH\Choinka\sch\v2\Chov2.PrjPCB|ReportField=Title~BOM For Project [Chov2.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~66|ReportField=ReportTime~12:47:29|ReportField=ReportDate~2016-01-06|ReportField=ReportDateTime~2016-01-06 12:47:29|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Nazwa_Projektu~Lampka LED na choinkê|ReportField=Wersja~1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2016-01-06|ReportField=CurrentTime~12:47:25|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Design\MLACH\Choinka\sch\v2\Chov2_main.SchDoc|ReportField=DocumentName~Chov2_main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=LotOfPieces~1|ReportField=ModifiedDate~2014-10-28|ReportField=Organization~|ReportField=ProjectName~Chov2.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Subtitle0~|ReportField=Subtitle1~|ReportField=Subtitle2~|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Chov2.PrjPCB|ReportField=DataSourceFullPath~E:\Design\MLACH\Choinka\sch\v2\Chov2.PrjPCB
C0805C105K4RAC|PLN|2014-06-16|capacitor 1uF, 16V, 0805, 10%, X7R||C1, C2|1206_0805|C0805C105K4RAC[[/\]]0805[[/\]]16V[[/\]]10%[[/\]]1u/16V|KEMET|1u/16V|0,099|2|C0805C105K4RAC|tme.pl|C0805C105K4RAC|C0805C105K4RAC
0805YC475KAT2A|PLN|2012-07-30|capacitor 4.7uF,16V, X7R, 0805||C1C|0805|0805YC475KAT2A[[/\]]0805[[/\]]16V[[/\]]10%[[/\]]4u7/16V|AVX|4u7/16V|0,0249|1|0805YC475KAT2A|tme.pl|0805YC475KAT2A|0805YC475KAT2A
CL10B104KA8NNNC|PLN|2014-08-05|Kondensator: ceramiczny; MLCC; 100nF; 25V; X7R; ±10%; SMD; 0603||C2C, C4C, C5C, C8C|0603-IPC|CL10B104KA8NNNC[[/\]]0603[[/\]]25V[[/\]]10%[[/\]]100n/25V|Samsung|100n/25V|0,0239|4|CL10B104KA8NNNC|tme.pl|CL10B104KA8NNNC|CL10B104KA8NNNC
CL10B105KO8NNNC|PLN|2014-09-29|capacitor 1uF, 16V, 0603, 10%, X7R||C3C|0603-IPC|CL10B105KO8NNNC[[/\]]0603[[/\]]16V[[/\]]10%[[/\]]1u/16V|Samsung|1u/16V|0,0299|1|CL10B105KO8NNNC|tme.pl|CL10B105KO8NNNC|CL10B105KO8NNNC
CL10C220JB8NNNC|PLN|2012-02-08|capacitor 22pF, 50V, 5%, 0603||C6C, C7C|0603-IPC|CL10C220JB8NNNC[[/\]]0603[[/\]]50V[[/\]]5%[[/\]]22p/50V 5%|Samsung|22p/50V 5%|0,027|2|CL10C220JB8NNNC|tme.pl|CL10C220JB8NNNC|CL10C220JB8NNNC
OF-SMD5060RGB-W|PLN|2014-01-04|5050 Single Chip RGB Color Top LED||D1L, D2L, D3L, D4L, D5L, D6L, D7L, D8L, D9L, D10L, D11L, D12L, D13L, D14L, D15L|OF-SMD5060RGB-W|OF-SMD5060RGB-W[[/\]]5060|Optoflash||1,3206|15|OF-SMD5060RGB-W|tme.pl|OF-SMD5060RGB-W|OF-SMD5060RGB-W
WS04S|PLN|2012-09-18|connector 2mm pitch, THT, 4 pole, straight, male||Dbg, Monitor|WS04S|WS04S[[/\]]8x12mm|||0,069|2|WS04S|maritex.com.pl||WS04S
WF04S|PLN|2014-06-06|connector 2.54mm pitch, THT, 4 pole, straight, male||J1, J2|WF04S|WF04S[[/\]]WF04S|||0,069|2|WF04S-JS|maritex.com.pl||WF04S
BLM18AG102SN1D|PLN|2014-10-18|Chip inductor SMD, 0603, Imax=0.4A,Z=1000ohm,  Rdc=0.15ohm||L1C|0603|BLM18AG102SN1D[[/\]]0603[[/\]]BLM18AG102SN1D|Murata|BLM18AG102SN1D|0,069|1|BLM18AG102SN1D|tme.pl|BLM18AG102SN1D|BLM18AG102SN1D
RC0603FR-07100KL|PLN|2010-02-23|Resistor 100kohm, 0603, 1%||R1C, R3C|0603-IPC|RC0603FR-07100KL[[/\]]0603[[/\]]0.1W[[/\]]1%[[/\]]100k 1%|Yageo|100k 1%|0,029|2|RC0603FR-07100K|tme.pl|RC0603FR-07100KL|RC0603FR-07100KL
